market,threshold,model,train_years,test_year,n_train,n_test,base_rate,auc,brier_model,brier_naive,brier_improvement,logloss_model,logloss_naive,logloss_improvement,cal_slope,cal_intercept,ece,is_monotonic,p_model_min,p_model_max,p_model_mean,p_model_std
F5_TeamTotals_away,over_3.0,LogReg,2022,2023,2430,2430,0.2852,0.5394,0.218773,0.203855,-0.014918,0.6599,0.5978,-0.0622,0.1692,-0.6828,0.1108,True,0.006907,0.999997,0.227662,0.14711
F5_TeamTotals_away,over_3.0,LightGBM,2022,2023,2430,2430,0.2852,0.5493,0.218943,0.203855,-0.015089,0.657,0.5978,-0.0592,0.2152,-0.5789,0.119,True,0.013622,0.657223,0.191984,0.113542
F5_TeamTotals_away,over_3.0,LogReg,2022-2023,2024,4860,2430,0.2543,0.541,0.198499,0.189642,-0.008857,0.5903,0.567,-0.0232,0.2101,-0.8517,0.0726,True,6e-06,0.876381,0.26997,0.122813
F5_TeamTotals_away,over_3.0,LightGBM,2022-2023,2024,4860,2430,0.2543,0.5429,0.195547,0.189642,-0.005905,0.5835,0.567,-0.0165,0.243,-0.7984,0.0685,True,0.027513,0.715619,0.253789,0.107446
F5_TeamTotals_away,over_3.0,LogReg,2022-2023-2024,2025,7290,2430,0.2568,0.5573,0.192701,0.190849,-0.001852,0.5759,0.5697,-0.0062,0.3705,-0.637,0.0518,True,0.005552,0.63863,0.247876,0.092415
F5_TeamTotals_away,over_3.0,LightGBM,2022-2023-2024,2025,7290,2430,0.2568,0.5568,0.192806,0.190849,-0.001958,0.5747,0.5697,-0.005,0.3962,-0.601,0.05,False,0.038856,0.700177,0.244602,0.090403
NRFI,nrfi,LogReg,2022,2023,2430,2430,0.4979,0.5122,0.269522,0.249996,-0.019526,0.7396,0.6931,-0.0464,0.068,-0.0217,0.1051,False,4e-06,0.991308,0.545878,0.141698
NRFI,nrfi,LightGBM,2022,2023,2430,2430,0.4979,0.5105,0.270227,0.249996,-0.020232,0.7405,0.6931,-0.0474,0.0439,-0.013,0.1067,False,0.089803,0.934837,0.525066,0.147955
NRFI,nrfi,LogReg,2022-2023,2024,4860,2427,0.5328,0.5082,0.260969,0.248927,-0.012042,0.7167,0.691,-0.0257,0.063,0.1352,0.0864,True,0.033506,0.7959,0.485363,0.105426
NRFI,nrfi,LightGBM,2022-2023,2024,4860,2427,0.5328,0.5057,0.262777,0.248927,-0.01385,0.7211,0.691,-0.0301,0.0312,0.1321,0.0955,True,0.144046,0.861308,0.493715,0.115207
NRFI,nrfi,LogReg,2022-2023-2024,2025,7287,2430,0.4979,0.5212,0.253852,0.249996,-0.003856,0.7012,0.6931,-0.0081,0.2607,-0.0314,0.0585,True,0.10884,0.849019,0.521747,0.083526
NRFI,nrfi,LightGBM,2022-2023-2024,2025,7287,2430,0.4979,0.5218,0.255654,0.249996,-0.005658,0.7051,0.6931,-0.012,0.2259,-0.0232,0.0731,True,0.202328,0.813383,0.516201,0.099252
YRFI,yrfi,LogReg,2022,2023,2430,2430,0.5021,0.5121,0.269518,0.249996,-0.019522,0.7395,0.6931,-0.0464,0.0678,0.0216,0.1058,False,0.008678,0.999996,0.454213,0.141659
YRFI,yrfi,LightGBM,2022,2023,2430,2430,0.5021,0.5105,0.270227,0.249996,-0.020232,0.7405,0.6931,-0.0474,0.0439,0.013,0.1067,False,0.065163,0.910197,0.474934,0.147955
YRFI,yrfi,LogReg,2022-2023,2024,4860,2427,0.4672,0.5082,0.260915,0.248927,-0.011988,0.7166,0.691,-0.0256,0.0637,-0.1352,0.0859,True,0.204073,0.967534,0.514381,0.105342
YRFI,yrfi,LightGBM,2022-2023,2024,4860,2427,0.4672,0.5057,0.262777,0.248927,-0.01385,0.7211,0.691,-0.0301,0.0312,-0.1321,0.0951,True,0.138692,0.855954,0.506285,0.115207
YRFI,yrfi,LogReg,2022-2023-2024,2025,7287,2430,0.5021,0.521,0.253898,0.249996,-0.003902,0.7013,0.6931,-0.0082,0.2577,0.0311,0.0611,True,0.149318,0.891868,0.478314,0.083595
YRFI,yrfi,LightGBM,2022-2023-2024,2025,7287,2430,0.5021,0.5218,0.255654,0.249996,-0.005658,0.7051,0.6931,-0.012,0.2259,0.0232,0.0731,True,0.186617,0.797672,0.483799,0.099252
