date,game_id,home_team,away_team,actual_total,market_line,over_pred_residual,over_pred_total,over_edge,under_prob,bet_direction,bet_result,profit_units,conflict_flag,train_samples,over_model_trees,under_model_trees
2025-02-12,0022400782,DAL,GSW,218,233.33333333333334,5.90156866573681,239.23490199907016,5.901568665736818,0.5042176232861313,,,,False,789,0,0
2025-02-12,0022400783,LAC,MEM,242,237.33333333333334,3.554071347377427,240.88740468071077,3.5540713473774304,0.39503928109302017,,,,False,789,0,0
2025-02-13,0022400787,MIN,OKC,217,222.0,-13.398480397914055,208.60151960208594,-13.398480397914057,0.6582585348281901,,,,False,804,0,0
2025-02-13,0022400786,DAL,MIA,231,221.66666666666666,1.1605709421015105,222.82723760876817,1.160570942101515,0.6591882446746382,,,,False,804,0,0
2025-02-13,0022401004,UTA,LAC,236,225.66666666666666,8.594496288283608,234.26116295495027,8.594496288283608,0.3846219280948426,,,,False,804,0,0
2025-02-13,0022400784,HOU,GSW,203,216.66666666666666,-0.4677596843135186,216.19890698235315,-0.46775968431350634,0.21943664394860674,,,,False,804,0,0
2025-02-13,0022400785,NOP,SAC,273,235.66666666666666,2.321238793460298,237.98790546012697,2.32123879346031,0.6159164817173586,,,,False,804,0,0
2025-02-19,0022400524,LAL,CHA,197,227.16666666666666,-1.2905552313504307,225.87611143531623,-1.2905552313504245,0.3889066403536229,,,,False,809,0,0
2025-02-20,0022400796,POR,LAL,212,227.0,0.5799326720890566,227.57993267208906,0.5799326720890576,0.4043894310269128,,,,False,810,0,0
2025-02-20,0022400788,IND,MEM,240,249.83333333333334,10.881997054966302,260.71533038829966,10.88199705496632,0.24097389208915956,,,,False,810,0,0
2025-02-20,0022400789,PHI,BOS,228,223.5,-5.544991315083759,217.95500868491624,-5.544991315083763,0.3724395613502256,,,,False,810,0,0
2025-02-20,0022400790,ATL,ORL,222,222.66666666666666,-6.096821210004903,216.56984545666177,-6.09682121000489,0.3865343031138163,,,,False,810,0,0
2025-02-20,0022400791,BKN,CLE,207,225.5,9.706870966870845,235.20687096687084,9.706870966870838,0.238553450767683,,,,False,810,0,0
2025-02-20,0022400792,NYK,CHI,224,242.5,-8.727787768330483,233.77221223166953,-8.727787768330472,0.7181358758415423,,,,False,810,0,0
2025-02-20,0022400793,MIL,LAC,226,227.33333333333334,7.965239676288716,235.29857300962206,7.965239676288718,0.10034985128750004,OVER,LOSS,-1.0,False,810,0,0
2025-02-20,0022400794,DEN,CHA,244,228.33333333333334,-3.8243086899718355,224.5090246433615,-3.8243086899718435,0.47642019983195344,,,,False,810,0,0
2025-02-20,0022400795,SAS,PHX,229,237.0,-4.298656834125811,232.7013431658742,-4.298656834125808,0.5239458561703331,,,,False,810,0,0
2025-02-21,0022400797,CLE,NYK,247,239.5,-2.499441913622756,237.00055808637725,-2.4994419136227464,0.4029540685834389,,,,False,819,0,0
2025-02-21,0022400800,TOR,MIA,231,221.33333333333334,-4.654696085229837,216.6786372481035,-4.65469608522983,0.24429103039574876,,,,False,819,0,0
2025-02-21,0022400801,HOU,MIN,236,216.5,-0.4727439413171827,216.0272560586828,-0.4727439413171908,0.5357275204195011,,,,False,819,0,0
2025-02-21,0022400799,WAS,MIL,205,229.66666666666666,9.87750929435249,239.54417596101914,9.877509294352478,0.4528406269983076,,,,False,819,0,0
2025-02-21,0022400798,ORL,MEM,209,224.5,1.8044235709445553,226.30442357094455,1.8044235709445502,0.5561906432343878,,,,False,819,0,0
2025-02-21,0022400805,SAC,GSW,240,233.5,-6.138037473904068,227.36196252609594,-6.138037473904063,0.40198481145912834,,,,False,819,0,0
2025-02-21,0022400804,UTA,OKC,237,236.5,-2.7359694710527283,233.76403052894727,-2.7359694710527265,0.39043404860026565,,,,False,819,0,0
2025-02-21,0022400802,SAS,DET,235,232.5,-4.679215484217424,227.82078451578258,-4.679215484217423,0.3217669946739287,,,,False,819,0,0
2025-02-21,0022400803,DAL,NOP,214,236.83333333333334,5.822793390512307,242.65612672384566,5.822793390512317,0.5817143849978116,,,,False,819,0,0
2025-02-22,0022400806,CHI,PHX,238,238.5,-7.780919742820718,230.7190802571793,-7.780919742820714,0.6453458700709372,UNDER,WIN,0.9090909090909091,False,828,0,0
2025-02-22,0022400807,PHI,BKN,208,213.5,-7.93081521138717,205.56918478861283,-7.93081521138717,0.7571664832364476,UNDER,WIN,0.9090909090909091,False,828,0,0
