date,game_id,home_team,away_team,actual_total,market_line,pred_model,pred_matchup,pred_blended,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-10-24,0022500096,DAL,WAS,224,227.83333333333334,219.37533973105792,220.0297221984638,219.833407458242,-7.99992587509135,UNDER,100.0,WIN,6.0-8.0,1241
2025-10-24,0022500099,LAC,PHX,231,222.5,231.68975369939383,238.99204669932763,236.8013587993475,14.301358799347497,,,,,1241
2025-10-24,0022500018,NYK,BOS,200,229.83333333333334,229.41712543101306,220.92825542187455,223.47491642461608,-6.35841690871726,UNDER,100.0,WIN,6.0-8.0,1241
2025-10-24,0022500094,MEM,MIA,260,233.5,232.2198608629954,239.7202762185462,237.4701516118809,3.970151611880908,,,,,1241
2025-10-25,0022500104,DEN,PHX,244,232.5,229.6562440792789,247.66981500916057,242.26574373019605,9.76574373019605,,,,,1253
2025-10-25,0022500102,PHI,CHA,246,234.83333333333334,220.6295500754015,222.8613763080382,222.19182843824717,-12.641504895086172,,,,,1253
2025-10-25,0022500103,MEM,IND,231,238.16666666666666,226.32086760271852,240.0261939649086,235.91459605625158,-2.2520706104150747,,,,,1253
2025-10-25,0022500100,ORL,CHI,208,233.16666666666666,228.79838286588634,225.38144099499834,226.40652355626474,-6.760143110401913,UNDER,100.0,WIN,6.0-8.0,1253
2025-10-25,0022500101,ATL,OKC,217,235.83333333333334,230.34851488234006,248.97980639727945,243.39041894279762,7.557085609464281,OVER,-110.0,LOSS,6.0-8.0,1253
2025-10-26,0022500110,MIN,IND,224,228.16666666666666,228.52648701384507,238.73807823019897,235.6746008652928,7.507934198626145,OVER,-110.0,LOSS,6.0-8.0,1258
2025-10-26,0022500112,LAC,POR,221,226.5,229.7973549592738,223.1642325204191,225.1541692520755,-1.3458307479245093,,,,,1258
2025-10-26,0022500113,SAC,LAL,247,230.16666666666666,234.61548128832845,235.70253803698884,235.37642101239072,5.209754345724065,OVER,100.0,WIN,5.0-6.0,1258
2025-10-26,0022500109,WAS,CHA,252,236.83333333333334,223.79765603923812,223.79139951157015,223.79327646987053,-13.040056863462809,,,,,1258
2025-10-26,0022500111,DAL,TOR,268,231.5,223.8177419428864,229.53367286398608,227.8188935876562,-3.6811064123438086,,,,,1258
2025-10-26,0022500107,CLE,MIL,231,236.16666666666666,237.42538218601746,248.2637682205597,245.01225241019702,8.845585743530364,,,,,1258
2025-10-26,0022500105,SAS,BKN,225,228.16666666666666,226.97192618636564,230.00995307552182,229.09854500877495,0.9318783421082912,,,,,1258
2025-10-26,0022500108,MIA,NYK,222,228.83333333333334,231.1420159682084,230.34389450166384,230.5833309416272,1.749997608293853,,,,,1258
2025-10-26,0022500106,DET,BOS,232,227.5,227.54111382710548,226.9052758827937,227.09602726608722,-0.40397273391278077,,,,,1258
2025-10-27,0022500116,HOU,BKN,246,226.16666666666666,225.72109558904322,237.7545662786851,234.14452507179254,7.977858405125886,OVER,100.0,WIN,6.0-8.0,1267
2025-10-27,0022500007,DET,CLE,211,231.16666666666666,229.41794192826433,238.4070342162629,235.71030652986332,4.54363986319666,OVER,-110.0,LOSS,4.0-5.0,1267
2025-10-27,0022500008,MIN,DEN,241,228.5,232.26110989282788,244.12162276048284,240.56346890018636,12.063468900186365,,,,,1267
2025-10-27,0022500114,PHI,ORL,260,226.5,222.85200639882098,219.61463262269191,220.58584475553062,-5.914155244469384,UNDER,-110.0,LOSS,5.0-6.0,1267
2025-10-27,0022500115,CHI,ATL,251,241.5,229.97514933386864,240.43022989604884,237.29370572739475,-4.206294272605248,UNDER,-110.0,LOSS,4.0-5.0,1267
