date,home_team,away_team,actual_total,market_total_line,model_total,edge,bet_side,bet_result,profit_units,staked_units,n_train_games,skip_reason
2025-04-11,Phoenix Suns,San Antonio Spurs,215,232.5,221.31022924297105,-11.189770757028953,UNDER,WIN,0.9090909090909091,1.0,1188,
2025-04-11,Portland Trail Blazers,Golden State Warriors,189,226.83333333333334,227.37896047642627,0.5456271430929291,NO_BET,NO_BET,0.0,0.0,1188,
2025-04-11,Sacramento Kings,LA Clippers,201,226.16666666666666,223.41950449546468,-2.7471621712019783,NO_BET,NO_BET,0.0,0.0,1188,
2025-04-11,Utah Jazz,Oklahoma City Thunder,256,233.66666666666666,219.4547255428794,-14.211941123787255,UNDER,LOSS,-1.0,1.0,1188,
2025-04-13,Atlanta Hawks,Orlando Magic,222,220.5,231.09232652713402,10.59232652713402,OVER,WIN,0.9090909090909091,1.0,1203,
2025-04-13,Boston Celtics,Charlotte Hornets,179,211.5,229.60008800759084,18.10008800759084,OVER,LOSS,-1.0,1.0,1203,
2025-04-13,Brooklyn Nets,New York Knicks,218,214.0,225.3793758653795,11.379375865379501,OVER,WIN,0.9090909090909091,1.0,1203,
2025-04-13,Cleveland Cavaliers,Indiana Pacers,244,226.83333333333334,236.42998039916512,9.596647065831775,OVER,WIN,0.9090909090909091,1.0,1203,
2025-04-13,Golden State Warriors,LA Clippers,243,218.33333333333334,229.41476038690632,11.08142705357298,OVER,WIN,0.9090909090909091,1.0,1203,
2025-04-13,Houston Rockets,Denver Nuggets,237,233.66666666666666,241.65099372838029,7.984327061713628,OVER,WIN,0.9090909090909091,1.0,1203,
2025-04-13,Memphis Grizzlies,Dallas Mavericks,229,228.33333333333334,230.1468989303974,1.8135655970640698,NO_BET,NO_BET,0.0,0.0,1203,
