date,game_id,home_team,away_team,actual_total,market_line,predicted_residual,predicted_total,edge,bet_direction,bet_result,profit_units,edge_bucket,train_samples,model_trees
2025-02-27,0022400847,DAL,CHA,199,223.33333333333334,-3.595633120252297,219.73770021308104,-3.5956331202523018,,,,,867,0
2025-02-27,0022400846,MIL,DEN,233,240.16666666666666,13.273309086460353,253.43997575312702,13.273309086460358,,,,,867,0
2025-02-27,0022400849,LAL,MIN,213,226.16666666666666,4.355750712017964,230.52241737868462,4.355750712017965,OVER,LOSS,-1.0,4.0-5.0,867,0
2025-02-27,0022400848,PHX,NOP,240,235.66666666666666,-3.672303449699696,231.99436321696697,-3.672303449699683,,,,,867,0
2025-02-28,0022400854,MIA,IND,245,225.5,0.7549075073150053,226.254907507315,0.7549075073150107,,,,,872,0
2025-02-28,0022400851,ATL,OKC,254,241.83333333333334,-0.005766837613385967,241.82756649571996,-0.005766837613379039,,,,,872,0
2025-02-28,0022400852,BOS,CLE,239,232.5,6.233220520356268,238.73322052035627,6.233220520356269,OVER,WIN,0.9090909090909091,6.0-8.0,872,0
2025-02-28,0022400853,BKN,POR,223,218.33333333333334,6.523097788391707,224.85643112172505,6.523097788391709,OVER,WIN,0.9090909090909091,6.0-8.0,872,0
2025-02-28,0022400850,DET,DEN,253,237.0,6.141396369369247,243.14139636936926,6.141396369369261,OVER,WIN,0.9090909090909091,6.0-8.0,872,0
2025-02-28,0022400855,CHI,TOR,240,235.33333333333334,2.5381256681540716,237.8714590014874,2.5381256681540663,,,,,872,0
2025-02-28,0022400856,MEM,NYK,227,245.0,-3.6294961365658676,241.37050386343412,-3.6294961365658764,,,,,872,0
2025-02-28,0022400857,PHX,NOP,233,235.66666666666666,-2.164443297998098,233.50222336866855,-2.1644432979981048,,,,,872,0
2025-02-28,0022400859,LAL,LAC,208,220.16666666666666,4.829978179494561,224.99664484616122,4.82997817949456,OVER,LOSS,-1.0,4.0-5.0,872,0
2025-02-28,0022400858,UTA,MIN,233,226.33333333333334,-0.08449258080289909,226.24884075253044,-0.08449258080290178,,,,,872,0
2025-03-01,0022400860,CHA,WAS,213,219.66666666666666,-5.538358812207667,214.128307854459,-5.538358812207662,UNDER,WIN,0.9090909090909091,5.0-6.0,882,0
2025-03-01,0022400861,DET,BKN,209,218.16666666666666,-7.453365912966799,210.71330075369985,-7.453365912966802,UNDER,WIN,0.9090909090909091,6.0-8.0,882,0
2025-03-01,0022400862,HOU,SAC,216,228.0,3.186438003645346,231.18643800364535,3.1864380036453497,,,,,882,0
2025-03-01,0022400863,MEM,SAS,258,242.33333333333334,-8.820470116030988,233.51286321730237,-8.820470116030975,,,,,882,0
2025-03-01,0022400864,PHI,GSW,245,225.66666666666666,-1.975418362028025,223.69124830463863,-1.975418362028023,,,,,882,0
2025-03-01,0022400865,DAL,MIL,249,227.66666666666666,0.7051735886040329,228.37184025527068,0.7051735886040262,,,,,882,0
2025-03-02,0022400869,MIA,NYK,228,223.0,5.394746041122588,228.39474604112257,5.394746041122573,OVER,WIN,0.9090909090909091,5.0-6.0,888,0
2025-03-02,0022400866,BOS,DEN,213,235.33333333333334,5.358883371765621,240.69221670509896,5.358883371765614,OVER,LOSS,-1.0,5.0-6.0,888,0
2025-03-02,0022400867,CLE,POR,262,234.33333333333334,0.9766267697646618,235.309960103098,0.976626769764664,,,,,888,0
2025-03-02,0022400874,LAL,LAC,210,219.83333333333334,-0.0781486596376775,219.75518467369565,-0.0781486596376908,,,,,888,0
2025-03-02,0022400868,IND,CHI,239,243.16666666666666,-3.3532060636718173,239.81346060299484,-3.35320606367182,,,,,888,0
2025-03-02,0022400872,UTA,NOP,249,232.0,6.069487084610558,238.06948708461056,6.069487084610557,OVER,WIN,0.9090909090909091,6.0-8.0,888,0
2025-03-02,0022400873,PHX,MIN,214,229.66666666666666,0.9492255545155679,230.61589222118224,0.9492255545155786,,,,,888,0
2025-03-02,0022400871,SAS,OKC,278,235.33333333333334,-5.327149935102174,230.00618339823117,-5.32714993510217,UNDER,LOSS,-1.0,5.0-6.0,888,0
2025-03-02,0022400870,ORL,TOR,206,211.5,-7.974455672664892,203.5255443273351,-7.974455672664902,UNDER,WIN,0.9090909090909091,6.0-8.0,888,0
2025-03-03,0022400875,CHA,GSW,220,224.33333333333334,2.3855903394152675,226.71892367274862,2.3855903394152733,,,,,897,0
2025-03-03,0022400876,PHI,POR,221,228.16666666666666,-7.701893702668037,220.46477296399863,-7.7018937026680305,UNDER,WIN,0.9090909090909091,6.0-8.0,897,0
2025-03-03,0022400877,MIA,WAS,196,219.5,3.1296497009647277,222.62964970096473,3.129649700964734,,,,,897,0
2025-03-03,0022400878,MEM,ATL,262,253.33333333333334,-10.74464245292775,242.58869088040558,-10.744642452927764,,,,,897,0
2025-03-03,0022400879,OKC,HOU,265,226.83333333333334,-9.962187016692061,216.87114631664127,-9.96218701669207,,,,,897,0
2025-03-03,0022400880,DAL,SAC,220,231.5,5.1096054234655455,236.60960542346555,5.109605423465553,OVER,LOSS,-1.0,5.0-6.0,897,0
2025-03-03,0022400881,UTA,DET,240,232.16666666666666,10.697566703420383,242.86423337008705,10.697566703420392,,,,,897,0
2025-03-04,0022400886,CHI,CLE,256,246.0,-2.748702172721995,243.251297827278,-2.7487021727220053,,,,,904,0
2025-03-04,0022400883,ORL,TOR,227,209.5,-6.567692431020206,202.93230756897978,-6.56769243102022,UNDER,LOSS,-1.0,6.0-8.0,904,0
2025-03-04,0022400884,ATL,MIL,248,240.83333333333334,-2.268867823669876,238.56446550966348,-2.268867823669865,,,,,904,0
2025-03-04,0022400885,NYK,GSW,216,231.16666666666666,0.6279279616114684,231.79459462827813,0.6279279616114763,,,,,904,0
2025-03-04,0022400890,LAL,NOP,251,230.0,2.1489069621459036,232.1489069621459,2.148906962145901,,,,,904,0
2025-03-04,0022400887,MIN,PHI,238,223.33333333333334,-2.357651977277484,220.97568135605587,-2.3576519772774702,,,,,904,0
2025-03-04,0022400888,SAS,BKN,240,225.33333333333334,1.20921736317974,226.54255069651308,1.2092173631797323,,,,,904,0
2025-03-04,0022400889,PHX,LAC,236,225.33333333333334,-4.4660594095944814,220.86727392373885,-4.466059409594493,UNDER,LOSS,-1.0,4.0-5.0,904,0
2025-03-04,0022400882,IND,HOU,217,230.33333333333334,-1.3839473749348694,228.94938595839847,-1.383947374934877,,,,,904,0
