date,game_id,home_team,away_team,actual_total,market_line,pred_total,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-03-12,0022400950,MEM,UTA,237,246.83333333333334,228.78014649689874,-18.053186836434605,,,,,967
2025-03-12,0022400953,POR,NYK,227,226.66666666666666,224.2004094105157,-2.4662572561509535,,,,,967
2025-03-12,0022400951,SAS,DAL,242,237.5,234.23153641850627,-3.2684635814937337,,,,,967
2025-03-12,0022400949,HOU,PHX,215,228.66666666666666,233.03300677520903,4.366340108542374,OVER,-110.0,LOSS,4.0-5.0,967
2025-03-12,0022400952,DEN,MIN,210,235.33333333333334,238.32994278573753,2.9966094524041864,,,,,967
2025-03-12,0022400947,TOR,PHI,223,219.33333333333334,225.80152267176615,6.468189338432808,OVER,100.0,WIN,6.0-8.0,967
2025-03-12,0022400946,BOS,OKC,230,228.0,233.5303791374159,5.530379137415906,OVER,100.0,WIN,5.0-6.0,967
2025-03-12,0022400945,ATL,CHA,233,233.66666666666666,228.55305924905116,-5.113607417615498,UNDER,100.0,WIN,5.0-6.0,967
2025-03-13,0022400954,DET,WAS,254,235.33333333333334,225.06038843378542,-10.272944899547923,,,,,976
2025-03-13,0022400955,MIL,LAL,232,225.5,228.1247763952377,2.6247763952376886,,,,,976
2025-03-13,0022400956,CHI,BKN,226,230.0,234.23317033383236,4.233170333832362,OVER,-110.0,LOSS,4.0-5.0,976
