market,submarket,model_name,split_year,n_test,auc,mae,brier,log_loss_val,brier_skill,cal_slope,cal_intercept,is_monotonic,pos_rate,avg_precision,feature_group
NRFI,nrfi,LGB_pitcher_park,2024,2427,0.5028,0.4999,0.2634,0.7228,-0.058,-0.0069,0.1314,False,0.5328,0.5328,pitcher_park
NRFI,nrfi,LGB_pitcher_park,2025,2430,0.5095,0.4987,0.2583,0.7112,-0.0334,0.0615,-0.0103,False,0.4979,0.5064,pitcher_park
NRFI,nrfi,LGB_team_pitcher_park,2023,2430,0.4975,0.5005,0.2726,0.7446,-0.0903,-0.0054,-0.0079,True,0.4979,0.5052,team_pitcher_park
NRFI,nrfi,LGB_team_pitcher_park,2024,2427,0.5114,0.4981,0.2619,0.7195,-0.0521,0.0639,0.1318,True,0.5328,0.54,team_pitcher_park
NRFI,nrfi,LGB_team_pitcher_park,2025,2430,0.5083,0.4979,0.2577,0.7095,-0.031,0.1107,-0.0133,True,0.4979,0.5136,team_pitcher_park
YRFI,yrfi,LogReg,2023,2430,0.5121,0.4974,0.2695,0.7395,-0.0781,0.0675,0.0215,True,0.5021,0.5197,all
YRFI,yrfi,LightGBM,2023,2430,0.5147,0.4968,0.2705,0.7416,-0.0818,0.0581,0.0153,False,0.5021,0.5125,all
YRFI,yrfi,LGB_tuned,2023,2430,0.5201,0.4964,0.2622,0.7207,-0.0488,0.107,0.0191,True,0.5021,0.5183,all
YRFI,yrfi,LogReg,2024,2427,0.5082,0.4996,0.2609,0.7166,-0.0482,0.0632,-0.1351,True,0.4672,0.4776,all
YRFI,yrfi,LightGBM,2024,2427,0.5182,0.4971,0.2609,0.7174,-0.0481,0.1147,-0.1357,True,0.4672,0.4821,all
YRFI,yrfi,LGB_tuned,2024,2427,0.5144,0.4989,0.2582,0.7108,-0.0373,0.0913,-0.1355,True,0.4672,0.4776,all
YRFI,yrfi,LogReg,2025,2430,0.521,0.4964,0.2539,0.7013,-0.0156,0.2542,0.0307,True,0.5021,0.5304,all
YRFI,yrfi,LightGBM,2025,2430,0.5082,0.4974,0.2578,0.7096,-0.0313,0.1295,0.0153,True,0.5021,0.515,all
YRFI,yrfi,LGB_tuned,2025,2430,0.5243,0.4959,0.2529,0.6992,-0.0116,0.2985,0.0258,True,0.5021,0.5298,all
