side,threshold,n_bets,n_wins,win_rate,total_profit,roi,total_profit_fair,roi_fair,avg_edge,median_edge,fold,phase,model,train_start,train_end,test_start,test_end,train_n,test_n
NO,0.6,20,5,0.25,-88.80000000000001,-44.400000000000006,-85.05303190070309,-42.526515950351545,0.3473894506696535,0.2990101107798553,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.65,15,4,0.26666666666666666,-66.5,-44.333333333333336,-63.64363592754873,-42.42909061836582,0.3906199784812051,0.3644696885327243,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.5,41,27,0.6585365853658537,23.4,5.7073170731707314,38.29757448535158,9.340871825695508,0.12641003598879463,0.10159388367010624,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.55,39,26,0.6666666666666666,27.699999999999996,7.102564102564102,42.067415755192854,10.78651686030586,0.13777582902652744,0.1096179100343414,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.6,34,22,0.6470588235294118,15.700000000000003,4.617647058823531,27.98815846237497,8.231811312463226,0.16202216734920002,0.1628727568250124,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.65,25,18,0.72,44.3,17.72,54.48767805526515,21.79507122210606,0.21579826692268647,0.19923362731933592,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.5,23,8,0.34782608695652173,-53.60000000000001,-23.30434782608696,-47.507487400037604,-20.655429304364176,0.30894497627975176,0.28842429307248724,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.55,22,8,0.36363636363636365,-43.60000000000001,-19.81818181818182,-37.507487400037604,-17.048857909108,0.3174314712334048,0.2917472674087738,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.6,20,7,0.35,-45.7,-22.85,-40.35632460933993,-20.178162304669964,0.33195670668449895,0.30491871180919095,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.65,15,4,0.26666666666666666,-59.80000000000001,-39.866666666666674,-56.683494085281865,-37.78899605685458,0.379481017579358,0.35986209160242333,3,Phase 2: Modern ML,xgboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.5,44,29,0.6590909090909091,25.900000000000006,5.886363636363638,41.91195484933996,9.525444283940901,0.11855504105738796,0.11714324429042133,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.55,37,24,0.6486486486486487,18.9,5.108108108108108,32.31449775407734,8.733648041642523,0.15607022770916565,0.20692803666097104,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.6,27,18,0.6666666666666666,20.500000000000007,7.592592592592595,30.63916068571747,11.34783729100647,0.22654449962370032,0.23761206761266485,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.65,24,16,0.6666666666666666,18.4,7.666666666666666,27.442825082994194,11.43451045124758,0.25157187932356717,0.2536586636464266,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.5,20,7,0.35,-48.699999999999996,-24.349999999999998,-43.464223743214305,-21.732111871607152,0.21050442651134973,0.21299569727446638,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
