fold,phase,model,threshold,roi,roi_fair,n_bets,profit,profit_fair,wins,losses,total_staked,avg_edge,median_edge,train_start,train_end,test_start,test_end
3,Phase 2: Modern ML,lightgbm,0.6,7.400000000000001,11.138411603943382,30,22.200000000000003,33.415234811830146,20,10,300.0,0.2039533238839444,0.19655904151267156,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,lightgbm,0.65,13.370370370370368,17.31938601846173,27,36.099999999999994,46.76234224984667,19,8,270.0,0.21724452547586906,0.21039376166043233,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,xgboost,0.5,5.7073170731707314,9.340871825695508,41,23.4,38.29757448535158,27,14,410.0,0.10587054500553142,0.08223267097693643,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,xgboost,0.55,7.102564102564102,10.78651686030586,39,27.699999999999996,42.067415755192854,26,13,390.0,0.11726199828511664,0.0896371869953132,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,xgboost,0.6,4.617647058823531,8.231811312463226,34,15.700000000000003,27.98815846237497,22,12,340.0,0.1415379250854853,0.1412930744308037,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,xgboost,0.65,17.72,21.79507122210606,25,44.3,54.48767805526515,18,7,250.0,0.1954026210986003,0.18067302125872986,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,catboost,0.5,5.886363636363638,9.525444283940901,44,25.900000000000006,41.91195484933996,29,15,440.0,0.09801372989842635,0.09421451185551721,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,catboost,0.55,5.108108108108108,8.733648041642523,37,18.9,32.31449775407734,24,13,370.0,0.13552410525804515,0.18630405909611936,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,catboost,0.6,7.592592592592595,11.34783729100647,27,20.500000000000007,30.63916068571747,18,9,270.0,0.20609048756500478,0.21564861568032034,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,catboost,0.65,7.666666666666666,11.43451045124758,24,18.4,27.442825082994194,16,8,240.0,0.2311244387057475,0.2332125070606072,2023-08-11,2024-10-21,2024-10-25,2024-12-22
4,Phase 1: Baseline,logistic,0.5,-3.3913043478260887,-0.02449704627095075,69,-23.40000000000001,-0.16902961926956017,40,29,690.0,0.018830605136490448,0.015451137876782206,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,logistic,0.55,-1.9705882352941202,1.4457309383427113,68,-13.400000000000016,9.830970380730436,40,28,680.0,0.021026695991269842,0.016538828091374025,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,logistic,0.6,2.7358490566037723,6.272096667199663,53,14.499999999999993,33.242112336158215,33,20,530.0,0.0331471431595387,0.029779924945424363,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,logistic,0.65,14.333333333333332,18.19210184258786,9,12.899999999999999,16.372891658329074,7,2,90.0,0.002718442206825822,0.014549520345842892,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,poisson,0.5,21.944444444444443,26.158273257408798,36,79.0,94.16978372667167,27,9,360.0,0.00028485177506842565,-0.007767204442606368,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,poisson,0.55,31.000000000000007,35.55545767710951,26,80.60000000000001,92.44418996048472,21,5,260.0,0.04974520347459724,0.054120134634774275,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,poisson,0.6,19.894736842105264,24.05579152938261,19,37.8,45.706003905826954,14,5,190.0,0.08896199537904635,0.09179134445626957,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,poisson,0.65,14.214285714285712,18.115110706649283,14,19.9,25.361154989308993,10,4,140.0,0.11000958924821595,0.1081977213687716,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,random_forest,0.5,-1.970588235294119,1.4457309383427113,68,-13.40000000000001,9.830970380730436,40,28,680.0,-0.004850935860507864,-0.008457335923007181,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,random_forest,0.55,-1.9811320754716988,1.4542524912847206,53,-10.500000000000004,7.707538203809019,31,22,530.0,0.011567648750037865,0.008319214443202938,2023-08-11,2024-12-07,2024-12-08,2025-02-03
