date,home,away,home_score,away_score,btts,total_goals,season
2021-03-14,18.00  VfB Stuttgart,(1-0)  TSG 1899 Hoffenheim,2,0,0,2,2020-21
2021-03-19,20.30  Arminia Bielefeld,(0-0)  RB Leipzig,0,1,0,1,2020-21
2021-03-20,15.30  1. FC Köln,(1-1)  Borussia Dortmund,2,2,1,4,2020-21
2021-03-20,Eintracht Frankfurt,(4-2)  1. FC Union Berlin,5,2,1,7,2020-21
2021-03-20,SV Werder Bremen,(1-2)  VfL Wolfsburg,1,2,1,3,2020-21
2021-03-20,FC Bayern München,(4-0)  VfB Stuttgart,4,0,0,4,2020-21
2021-03-20,18.30  FC Schalke 04,(0-1)  Borussia Mönchengladbach,0,3,0,3,2020-21
2021-03-21,13.30  TSG 1899 Hoffenheim,(1-2)  1. FSV Mainz 05,1,2,1,3,2020-21
2021-03-21,15.30  Hertha BSC,(3-0)  Bayer 04 Leverkusen,3,0,0,3,2020-21
2021-03-21,18.00  SC Freiburg,(0-0)  FC Augsburg,2,0,0,2,2020-21
2021-04-03,20.30  Borussia Mönchengladbach,(0-1)  SC Freiburg,2,1,1,3,2020-21
2021-04-03,18.30  RB Leipzig,(0-1)  FC Bayern München,0,1,0,1,2020-21
2021-04-03,FC Augsburg,(2-0)  TSG 1899 Hoffenheim,2,1,1,3,2020-21
2021-04-03,15.30  Borussia Dortmund,(1-1)  Eintracht Frankfurt,1,2,1,3,2020-21
2021-04-03,VfL Wolfsburg,(0-0)  1. FC Köln,1,0,0,1,2020-21
2021-04-03,Bayer 04 Leverkusen,(1-0)  FC Schalke 04,2,1,1,3,2020-21
2021-04-03,1. FSV Mainz 05,(0-0)  Arminia Bielefeld,1,1,1,2,2020-21
2021-04-04,15.30  VfB Stuttgart,(0-0)  SV Werder Bremen,1,0,0,1,2020-21
2021-04-04,18.00  1. FC Union Berlin,(1-1)  Hertha BSC,1,1,1,2,2020-21
2021-04-09,20.30  Arminia Bielefeld,(0-0)  SC Freiburg,1,0,0,1,2020-21
2021-04-10,15.30  Eintracht Frankfurt,(2-1)  VfL Wolfsburg,4,3,1,7,2020-21
2021-04-10,SV Werder Bremen,(0-3)  RB Leipzig,1,4,1,5,2020-21
2021-04-10,Hertha BSC,(1-2)  Borussia Mönchengladbach,2,2,1,4,2020-21
2021-04-10,FC Bayern München,(0-0)  1. FC Union Berlin,1,1,1,2,2020-21
2021-04-10,18.30  VfB Stuttgart,(1-0)  Borussia Dortmund,2,3,1,5,2020-21
2021-04-11,15.30  FC Schalke 04,(1-0)  FC Augsburg,1,0,0,1,2020-21
2021-04-11,18.00  1. FC Köln,(1-1)  1. FSV Mainz 05,2,3,1,5,2020-21
2021-04-12,20.30  TSG 1899 Hoffenheim,Bayer 04 Leverkusen,0,0,0,0,2020-21
2021-04-16,20.30  RB Leipzig,TSG 1899 Hoffenheim,0,0,0,0,2020-21
2021-04-17,15.30  Borussia Mönchengladbach,(1-0)  Eintracht Frankfurt,4,0,0,4,2020-21
2021-04-17,SC Freiburg,(2-0)  FC Schalke 04,4,0,0,4,2020-21
2021-04-17,VfL Wolfsburg,(1-3)  FC Bayern München,2,3,1,5,2020-21
2021-04-17,FC Augsburg,Arminia Bielefeld,0,0,0,0,2020-21
2021-04-17,1. FC Union Berlin,(2-0)  VfB Stuttgart,2,1,1,3,2020-21
2021-04-17,18.30  Bayer 04 Leverkusen,(1-0)  1. FC Köln,3,0,0,3,2020-21
2021-04-18,15.30  Borussia Dortmund,(3-1)  SV Werder Bremen,4,1,1,5,2020-21
2021-04-20,FC Bayern München,(2-0)  Bayer 04 Leverkusen,2,0,0,2,2020-21
2021-04-20,Arminia Bielefeld,(0-0)  FC Schalke 04,1,0,0,1,2020-21
2021-04-20,18.30  1. FC Köln,(0-0)  RB Leipzig,2,1,1,3,2020-21
2021-04-20,20.30  Eintracht Frankfurt,(1-0)  FC Augsburg,2,0,0,2,2020-21
2021-04-21,20.30  Borussia Dortmund,(1-0)  1. FC Union Berlin,2,0,0,2,2020-21
2021-04-21,VfB Stuttgart,(0-2)  VfL Wolfsburg,1,3,1,4,2020-21
2021-04-21,SV Werder Bremen,(0-1)  1. FSV Mainz 05,0,1,0,1,2020-21
2021-04-21,TSG 1899 Hoffenheim,(0-2)  Borussia Mönchengladbach,3,2,1,5,2020-21
2021-04-23,20.30  FC Augsburg,(0-3)  1. FC Köln,2,3,1,5,2020-21
2021-04-24,18.30  Bayer 04 Leverkusen,(0-0)  Eintracht Frankfurt,3,1,1,4,2020-21
2021-04-24,1. FC Union Berlin,(0-0)  SV Werder Bremen,3,1,1,4,2020-21
2021-04-24,15.30  SC Freiburg,(0-1)  TSG 1899 Hoffenheim,1,1,1,2,2020-21
2021-04-24,VfL Wolfsburg,(0-1)  Borussia Dortmund,0,2,0,2,2020-21
2021-04-24,1. FSV Mainz 05,(2-0)  FC Bayern München,2,1,1,3,2020-21
2021-04-25,15.30  RB Leipzig,(0-0)  VfB Stuttgart,2,0,0,2,2020-21
2021-04-25,18.00  Borussia Mönchengladbach,(3-0)  Arminia Bielefeld,5,0,0,5,2020-21
2021-05-03,18.00  1. FSV Mainz 05,(1-1)  Hertha BSC,1,1,1,2,2020-21
2021-05-06,18.30  Hertha BSC,(2-0)  SC Freiburg,3,0,0,3,2020-21
2021-05-07,20.30  VfB Stuttgart,(1-0)  FC Augsburg,2,1,1,3,2020-21
2021-05-08,TSG 1899 Hoffenheim,(0-2)  FC Schalke 04,4,2,1,6,2020-21
2021-05-08,18.30  FC Bayern München,(4-0)  Borussia Mönchengladbach,6,0,0,6,2020-21
2021-05-08,VfL Wolfsburg,(1-0)  1. FC Union Berlin,3,0,0,3,2020-21
2021-05-08,15.30  Borussia Dortmund,(1-0)  RB Leipzig,3,2,1,5,2020-21
2021-05-08,SV Werder Bremen,Bayer 04 Leverkusen,0,0,0,0,2020-21
2021-05-09,13.30  1. FC Köln,(0-2)  SC Freiburg,1,4,1,5,2020-21
