date,home,away,home_score,away_score,btts,total_goals,season
2021-01-30,15.00  Bologna FC 1909,(0-1)  AC Milan,1,2,1,3,2020-21
2021-01-30,18.00  UC Sampdoria,(0-1)  Juventus FC,0,2,0,2,2020-21
2021-01-30,20.45  FC Internazionale Milano,(1-0)  Benevento Calcio,4,0,0,4,2020-21
2021-01-31,18.00  SSC Napoli,(1-0)  Parma Calcio 1913,2,0,0,2,2020-21
2021-01-31,FC Crotone,(0-2)  Genoa CFC,0,3,0,3,2020-21
2021-01-31,20.45  AS Roma,(3-0)  Hellas Verona FC,3,1,1,4,2020-21
2021-01-31,15.00  Atalanta BC,(0-1)  SS Lazio,1,3,1,4,2020-21
2021-01-31,12.30  Spezia Calcio,(0-0)  Udinese Calcio,0,1,0,1,2020-21
2021-01-31,Cagliari Calcio,(0-0)  US Sassuolo Calcio,1,1,1,2,2020-21
2021-02-05,20.45  ACF Fiorentina,(0-1)  FC Internazionale Milano,0,2,0,2,2020-21
2021-02-06,15.00  Atalanta BC,(3-2)  Torino FC,3,3,1,6,2020-21
2021-02-06,US Sassuolo Calcio,(1-1)  Spezia Calcio,1,2,1,3,2020-21
2021-02-06,18.00  Juventus FC,(1-0)  AS Roma,2,0,0,2,2020-21
2021-02-06,20.45  Genoa CFC,(2-0)  SSC Napoli,2,1,1,3,2020-21
2021-02-07,12.30  Benevento Calcio,(0-0)  UC Sampdoria,1,1,1,2,2020-21
2021-02-07,15.00  AC Milan,(1-0)  FC Crotone,4,0,0,4,2020-21
2021-02-07,Udinese Calcio,(0-0)  Hellas Verona FC,2,0,0,2,2020-21
2021-02-07,18.00  Parma Calcio 1913,(0-2)  Bologna FC 1909,0,3,0,3,2020-21
2021-02-07,20.45  SS Lazio,(0-0)  Cagliari Calcio,1,0,0,1,2020-21
2021-02-12,20.50  Bologna FC 1909,(1-0)  Benevento Calcio,1,1,1,2,2020-21
2021-02-13,20.45  Spezia Calcio,(0-0)  AC Milan,2,0,0,2,2020-21
